"id","baseline","webview_all","webview_android","webview_ios","webview_android_unsupported_compat_features","webview_ios_unsupported_compat_features"
"a","2 - widely",FALSE,"partial","partial","html.elements.a.href.href_sms, html.elements.a.href.href_top, html.elements.a.hreflang, html.elements.a.implicit_noopener, html.elements.a.rel, html.elements.a.rel.noopener, html.elements.a.rel.noreferrer, html.elements.a.target, html.elements.a.type","html.elements.a.href.href_sms, html.elements.a.href.href_top, html.elements.a.hreflang, html.elements.a.implicit_noopener, html.elements.a.rel, html.elements.a.rel.noopener, html.elements.a.rel.noreferrer, html.elements.a.target, html.elements.a.type"
"abbr","2 - widely",TRUE,"supported","supported","",""
"abortable-fetch","2 - widely",TRUE,"supported","supported","",""
"aborting","2 - widely",TRUE,"supported","supported","",""
"abortsignal-any","1 - newly",TRUE,"supported","supported","",""
"abs-sign","1 - newly",FALSE,"supported","partial","","css.types.sign"
"absolute-positioning","2 - widely",FALSE,"supported","unsupported","","css.properties.align-self.position_absolute_context, css.properties.justify-self.position_absolute_context, css.properties.place-self.position_absolute_context, css.properties.position.absolute"
"accelerometer","0 - limited",FALSE,"partial","unsupported","api.Permissions.permission_accelerometer, html.elements.iframe.allow.accelerometer, http.headers.Permissions-Policy.accelerometer","api.Accelerometer, api.Accelerometer.Accelerometer, api.Accelerometer.x, api.Accelerometer.y, api.Accelerometer.z, api.GravitySensor, api.GravitySensor.GravitySensor, api.LinearAccelerationSensor, api.LinearAccelerationSensor.LinearAccelerationSensor, api.Permissions.permission_accelerometer, html.elements.iframe.allow.accelerometer, http.headers.Permissions-Policy.accelerometer"
"accent-color","0 - limited",TRUE,"supported","supported","",""
"accesskey","2 - widely",FALSE,"partial","supported","api.HTMLElement.accessKeyLabel, html.global_attributes.accesskey",""
"accessor-methods","0 - limited",TRUE,"supported","supported","",""
"active-view-transition","0 - limited",TRUE,"supported","supported","",""
"address","2 - widely",TRUE,"supported","supported","",""
"alerts","2 - widely",TRUE,"supported","supported","",""
"align-content-block","1 - newly",TRUE,"supported","supported","",""
"alignment-baseline","0 - limited",TRUE,"supported","supported","",""
"all","2 - widely",TRUE,"supported","supported","",""
"alt-text-generated-content","1 - newly",TRUE,"supported","supported","",""
"alternative-style-sheets","0 - limited",FALSE,"supported","unsupported","","html.elements.link.rel.alternate_stylesheet"
